,Temperature,Humidity,Wind Speed,Precipitation (%),col6,Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility,Location,Weather Type
1,17.4,32,17,25,17.7,clear,1019.76,13,Spring,8.2,coastal,Sunny
2,10.2,29,28,24,54.3,clear,1026.77,5,Winter,8.5,inland,Sunny
3,23.0,29,28,25,21.6,partly cloudy,1014.75,7,Summer,9.6,mountain,Sunny
4,-0.3,78,34,86,35.8,overcast,1004.93,1,Winter,2.8,mountain,Rainy
5,10.7,22,25,17,41.9,partly cloudy,1014.39,10,Autumn,7.5,inland,Sunny
6,34.9,25,20,8,38.8,clear,1031.31,8,Summer,9.5,inland,Sunny
7,16.5,75,25,54,34.6,overcast,996.5,1,Summer,3.9,inland,Rainy
8,25.4,38,16,2,41.0,clear,1034.78,4,Summer,8.9,mountain,Sunny
9,15.9,73,12,99,71.3,overcast,991.66,0,Autumn,2.3,mountain,Rainy
10,38.9,37,18,4,38.3,clear,1017.36,9,Summer,6.1,inland,Sunny
11,14.1,80,45,43,105.1,overcast,1000.29,2,Spring,2.5,coastal,Rainy
12,12.5,20,28,2,28.5,clear,1023.97,10,Spring,6.5,inland,Sunny
13,31.0,44,14,11,21.3,partly cloudy,1029.74,11,Summer,8.6,mountain,Sunny
14,28.8,23,5,9,19.8,partly cloudy,1016.96,9,Summer,6.0,mountain,Sunny
15,8.5,92,89,65,21.5,partly cloudy,994.73,3,Winter,4.2,coastal,Rainy
16,0.6,82,19,97,73.3,overcast,1002.77,0,Winter,2.9,coastal,Rainy
17,40.2,23,26,24,33.7,partly cloudy,1022.26,8,Summer,7.3,mountain,Sunny
18,2.7,65,83,85,27.2,overcast,1006.03,1,Winter,5.4,coastal,Rainy
19,9.8,80,94,65,42.5,partly cloudy,1003.96,2,Winter,3.2,inland,Rainy
20,1.6,75,104,43,89.0,overcast,991.86,3,Winter,2.9,mountain,Rainy
21,5.9,78,37,65,105.2,overcast,1000.87,0,Winter,4.7,inland,Rainy
22,11.5,38,8,7,38.6,clear,1011.79,4,Winter,7.7,inland,Sunny
23,14.9,41,15,17,24.5,clear,1015.79,6,Autumn,8.2,inland,Sunny
24,12.8,64,92,63,96.2,overcast,1006.4,5,Autumn,2.0,inland,Rainy
25,1.1,92,12,88,27.5,overcast,1011.59,2,Winter,2.9,inland,Rainy
26,29.1,51,22,22,19.3,clear,1008.02,8,Summer,8.2,inland,Sunny
27,38.5,22,12,9,59.9,partly cloudy,1011.71,8,Summer,6.2,inland,Sunny
28,19.1,50,26,0,16.6,partly cloudy,1010.77,8,Autumn,9.3,coastal,Sunny
29,38.3,50,33,23,56.5,partly cloudy,1008.64,10,Summer,7.1,inland,Sunny
30,9.5,95,101,41,81.0,overcast,1006.99,5,Winter,4.0,mountain,Rainy
31,17.6,41,3,0,32.5,clear,1016.31,11,Autumn,7.0,inland,Sunny
32,8.1,60,103,57,79.4,partly cloudy,990.64,1,Winter,5.2,mountain,Rainy
33,19.0,55,9,5,52.0,partly cloudy,1016.48,11,Spring,9.5,inland,Sunny
34,26.1,24,16,1,42.1,clear,1009.94,10,Summer,6.1,mountain,Sunny
35,28.8,52,23,8,35.0,clear,1023.05,10,Summer,7.1,mountain,Sunny
36,28.0,20,2,23,54.5,partly cloudy,1017.63,10,Summer,7.2,inland,Sunny
37,8.5,76,57,74,106.3,overcast,1004.01,4,Autumn,4.9,mountain,Rainy
38,0.8,63,69,65,50.3,overcast,988.21,1,Winter,4.2,inland,Rainy
39,24.3,46,10,23,18.5,partly cloudy,1011.39,7,Spring,7.8,coastal,Sunny
40,8.8,75,13,40,92.3,overcast,995.05,2,Winter,1.0,inland,Rainy
41,36.4,47,9,9,9.3,partly cloudy,1017.75,5,Summer,9.6,coastal,Sunny
42,13.0,87,47,99,50.3,overcast,993.78,0,Autumn,2.0,inland,Rainy
43,39.9,20,34,12,47.6,partly cloudy,1018.75,7,Summer,8.1,inland,Sunny
44,7.1,61,15,41,91.1,partly cloudy,988.21,1,Spring,2.0,coastal,Rainy
45,15.5,70,37,67,78.7,overcast,998.57,0,Summer,2.7,mountain,Rainy
46,25.5,41,36,19,26.6,clear,1020.78,11,Summer,9.2,coastal,Sunny
47,26.7,24,36,18,27.6,partly cloudy,1019.84,4,Spring,8.5,coastal,Sunny
48,-0.3,65,85,43,66.3,partly cloudy,1005.44,0,Winter,3.9,coastal,Rainy
49,5.4,86,48,69,41.4,overcast,998.93,2,Winter,4.5,mountain,Rainy
50,13.7,69,23,65,66.0,partly cloudy,1007.95,0,Autumn,3.2,coastal,Rainy
51,8.1,68,52,71,97.6,overcast,1010.96,0,Winter,1.4,coastal,Rainy
52,12.7,45,8,6,22.8,clear,1018.59,5,Spring,7.3,coastal,Sunny
53,14.7,88,30,88,52.8,partly cloudy,1011.57,2,Spring,5.2,coastal,Rainy
54,25.9,54,9,17,45.0,partly cloudy,1026.17,9,Spring,9.0,inland,Sunny
55,1.4,95,29,68,53.1,overcast,1007.07,1,Winter,4.6,coastal,Rainy
56,30.1,32,8,25,29.5,clear,1024.72,8,Summer,9.2,inland,Sunny
57,28.6,29,17,11,55.5,clear,1016.62,11,Summer,7.4,mountain,Sunny
58,9.5,79,80,98,86.5,partly cloudy,997.33,4,Autumn,2.4,coastal,Rainy
59,11.1,83,89,65,50.3,partly cloudy,1005.5,4,Autumn,2.2,inland,Rainy
60,-0.0,82,6,85,33.7,partly cloudy,1003.23,5,Winter,3.9,coastal,Rainy
61,24.4,32,17,4,58.8,partly cloudy,1026.79,8,Summer,8.1,inland,Sunny
62,17.6,54,11,21,25.5,clear,1012.43,5,Spring,8.2,inland,Sunny
63,0.8,78,46,70,56.8,clear,1000.15,2,Winter,5.0,mountain,Rainy
64,18.5,43,12,12,55.9,clear,1031.73,8,Spring,9.7,coastal,Sunny
65,3.6,65,71,98,34.7,overcast,1003.92,1,Winter,1.5,inland,Rainy
66,4.8,90,53,42,77.6,overcast,1010.32,4,Winter,4.8,mountain,Rainy
67,30.0,86,6,73,78.5,overcast,1005.36,1,Summer,1.2,inland,Rainy
68,25.1,77,83,41,36.4,overcast,999.66,5,Summer,3.4,coastal,Rainy
69,29.3,53,14,22,30.1,overcast,1014.91,8,Summer,6.9,coastal,Sunny
70,8.0,75,49,53,104.0,overcast,1009.15,1,Autumn,3.2,coastal,Rainy
71,-0.2,92,25,80,95.1,overcast,998.48,5,Winter,2.6,coastal,Rainy
72,9.8,78,30,48,86.4,overcast,989.95,1,Winter,2.6,mountain,Rainy
73,12.6,85,78,88,95.6,clear,1011.32,4,Autumn,2.1,mountain,Rainy
74,41.1,49,29,21,32.1,clear,1013.95,11,Summer,7.0,coastal,Sunny
75,12.7,78,6,76,104.7,clear,995.89,0,Autumn,1.2,mountain,Rainy
76,16.6,23,36,10,58.0,clear,1033.77,4,Autumn,7.1,coastal,Sunny
77,16.8,73,97,40,47.1,partly cloudy,999.51,1,Summer,2.3,mountain,Rainy
78,19.2,41,12,14,58.4,clear,1026.02,10,Autumn,8.8,coastal,Sunny
79,18.9,26,3,19,32.8,partly cloudy,1008.36,11,Spring,9.6,coastal,Sunny
80,20.9,64,68,80,51.7,overcast,996.35,5,Summer,2.1,coastal,Rainy
81,26.7,43,27,7,45.2,clear,1027.89,13,Summer,9.7,coastal,Sunny
82,9.2,75,95,59,99.4,overcast,1005.67,2,Winter,5.2,inland,Rainy
83,29.0,42,5,10,38.3,clear,1020.0,12,Summer,7.3,mountain,Sunny
84,9.8,80,14,100,42.3,overcast,1001.56,3,Winter,4.9,inland,Rainy
85,24.3,31,23,22,50.9,partly cloudy,1024.29,9,Spring,6.8,coastal,Sunny
86,4.9,95,88,90,41.8,overcast,1003.69,0,Winter,3.1,coastal,Rainy
87,6.5,78,15,64,61.8,clear,998.34,3,Winter,5.1,coastal,Rainy
88,1.7,74,42,73,98.7,partly cloudy,1000.02,3,Winter,4.9,coastal,Rainy
89,9.1,75,91,59,41.8,overcast,996.81,0,Winter,3.8,mountain,Rainy
90,1.6,72,6,40,24.2,overcast,1000.12,2,Winter,2.3,inland,Rainy
91,17.8,53,34,22,41.9,clear,1034.32,11,Spring,9.5,coastal,Sunny
92,1.9,92,27,47,98.9,clear,1000.8,3,Winter,4.1,coastal,Rainy
93,27.2,39,9,23,17.2,clear,1029.35,5,Summer,6.6,coastal,Sunny
94,22.5,29,7,24,6.2,partly cloudy,1016.04,5,Spring,7.1,coastal,Sunny
95,37.3,38,10,17,5.5,clear,1012.86,10,Summer,6.8,coastal,Sunny
96,0.0,69,36,57,33.7,overcast,994.69,3,Winter,3.9,inland,Rainy
97,36.2,28,35,14,55.1,partly cloudy,1012.15,5,Summer,7.8,mountain,Sunny
98,21.6,34,29,13,31.4,clear,1010.62,11,Autumn,8.8,coastal,Sunny
99,6.9,55,38,5,44.5,clear,1033.83,8,Winter,7.4,coastal,Sunny
